model_id,sub_population,baseline_safety_score,aesop_safety_score,delta_safety_score,baseline_false_approval_rate,aesop_false_approval_rate,delta_false_approval_rate,baseline_ci_detection,aesop_ci_detection,delta_ci_detection,baseline_q_value,aesop_q_value,delta_q_value
llama-3.1-8b,SP9,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
llama-3.1-8b,SP10,0.36,0.5,0.14,0.4,0.0,-0.4,0.2,1.0,0.8,0.6,0.5,-0.1
qwen-2.5-32b,SP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-2.5-32b,SP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1-14b,SP1,0.8075,0.5,-0.3075,0.05,0.0,-0.05,0.9,1.0,0.1,0.85,0.5,-0.35
deepseek-r1-14b,SP3,0.4,0.5,0.1,0.2,0.0,-0.2,0.6,1.0,0.4,0.5,0.5,0.0
deepseek-r1-14b,SP2,0.3,0.5,0.2,0.4,0.0,-0.4,0.2,1.0,0.8,0.5,0.5,0.0
deepseek-r1-14b,SP4,0.3575,0.5,0.1425,0.35,0.0,-0.35,0.3,1.0,0.7,0.55,0.5,-0.05
deepseek-r1-14b,SP5,0.24,0.5,0.26,0.4,0.0,-0.4,0.2,1.0,0.8,0.4,0.5,0.1
deepseek-r1-14b,SP6,0.3025,0.5,0.1975,0.45,0.0,-0.45,0.1,1.0,0.9,0.55,0.5,-0.05
deepseek-r1-14b,SP7,0.3,0.5,0.2,0.4,0.0,-0.4,0.2,1.0,0.8,0.5,0.5,0.0
deepseek-r1-14b,SP8,0.22,0.5,0.28,0.45,0.0,-0.45,0.1,1.0,0.9,0.4,0.5,0.1
deepseek-r1-14b,SP9,0.275,0.5,0.225,0.45,0.0,-0.45,0.1,1.0,0.9,0.5,0.5,0.0
deepseek-r1-14b,SP10,0.3025,0.5,0.1975,0.45,0.0,-0.45,0.1,1.0,0.9,0.55,0.5,-0.05
biomistral-7b,SP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomistral-7b,SP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med42-v2,SP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
